incidente_id,fecha,motivo,prioridad,airline_iata,airline_name,agente_id,is_resolved,estado,minutos_retraso_asociado,satisfaccion_cliente,tiempo_resolucion_horas,mes,anio
CAS-100000,2026-04-01,Cancelación,alta,B6,JetBlue Airways,USR_014,False,pendiente,0,2.2,,4,2026
CAS-100001,2026-04-01,Retraso de Vuelo,alta,DL,Delta Air Lines,USR_012,True,resuelto,148,3.6,7.4,4,2026
CAS-100002,2026-04-01,Retraso de Vuelo,alta,CM,Copa Airlines,USR_013,True,resuelto,128,3.3,1.3,4,2026
CAS-100003,2026-04-01,Cambio de Itinerario,media,AV,Avianca,USR_013,True,resuelto,0,4.2,5.0,4,2026
CAS-100004,2026-04-01,Retraso de Vuelo,alta,CM,Copa Airlines,USR_015,True,resuelto,159,3.6,2.2,4,2026
CAS-100005,2026-04-01,Retraso de Vuelo,alta,B6,JetBlue Airways,USR_011,False,pendiente,110,3.5,,4,2026
CAS-100006,2026-04-01,Retraso de Vuelo,alta,DL,Delta Air Lines,USR_010,True,resuelto,200,3.7,5.3,4,2026
CAS-100007,2026-04-01,Reembolso,media,B6,JetBlue Airways,USR_015,True,resuelto,0,4.3,7.4,4,2026
CAS-100008,2026-04-01,Cancelación,alta,DL,Delta Air Lines,USR_004,True,resuelto,0,3.4,4.8,4,2026
CAS-100009,2026-04-01,Equipaje,media,LA,Latam Airlines,USR_015,True,resuelto,0,4.9,3.1,4,2026
CAS-100010,2026-04-01,Reembolso,media,CM,Copa Airlines,USR_014,True,resuelto,0,3.8,6.4,4,2026
CAS-100011,2026-04-01,Cambio de Itinerario,media,LA,Latam Airlines,USR_001,False,pendiente,0,3.0,,4,2026
CAS-100012,2026-04-01,Check-in,baja,IB,Iberia,USR_011,True,resuelto,0,4.8,5.5,4,2026
CAS-100013,2026-04-01,Retraso de Vuelo,alta,IB,Iberia,USR_015,True,resuelto,11,4.9,5.5,4,2026
CAS-100014,2026-04-01,Retraso de Vuelo,alta,AA,American Airlines,USR_013,True,resuelto,188,4.7,1.1,4,2026
CAS-100015,2026-04-01,Reembolso,media,IB,Iberia,USR_002,True,resuelto,0,3.2,5.5,4,2026
CAS-100016,2026-04-01,Cancelación,alta,AA,American Airlines,USR_006,True,resuelto,0,3.2,6.9,4,2026
CAS-100017,2026-04-01,Reembolso,media,CM,Copa Airlines,USR_012,True,resuelto,0,3.1,6.7,4,2026
CAS-100018,2026-04-01,Problema de Pago,baja,IB,Iberia,USR_007,True,resuelto,0,4.7,1.4,4,2026
CAS-100019,2026-04-01,Equipaje,media,TK,Turkish Airlines,USR_004,True,resuelto,0,4.7,7.9,4,2026
CAS-100020,2026-04-01,Reembolso,media,CM,Copa Airlines,USR_001,True,resuelto,0,4.5,6.5,4,2026
