vuelo_id,fecha,airline_iata,airline_name,origen_iata,destino_iata,flight_status,retraso_salida_min,retraso_llegada_min,tiene_retraso,severidad_retraso,condicion_clima,grupo_clima,impacto_clima,condiciones_adversas,dia_semana,mes,anio
VL1000,2026-04-01,DL,Delta Air Lines,BOG,GRU,cancelado,0,0,False,sin_retraso,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1001,2026-04-01,IB,Iberia,EZE,BOG,demorado,48,56,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1002,2026-04-01,IB,Iberia,GRU,BOG,demorado,99,100,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1003,2026-04-01,AC,Air Canada,JFK,BOG,demorado,46,42,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1004,2026-04-01,AA,American Airlines,BOG,MAD,demorado,55,35,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1005,2026-04-01,AA,American Airlines,BOG,MAD,demorado,92,59,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1006,2026-04-01,TK,Turkish Airlines,BOG,BAQ,demorado,80,60,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1007,2026-04-01,AC,Air Canada,BOG,BAQ,completado,36,29,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1008,2026-04-01,AV,Avianca,JFK,BOG,cancelado,0,0,False,sin_retraso,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1009,2026-04-01,AA,American Airlines,BOG,BAQ,demorado,51,36,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1010,2026-04-01,LA,Latam Airlines,CLO,MIA,cancelado,0,0,False,sin_retraso,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1011,2026-04-01,LA,Latam Airlines,EZE,BOG,demorado,65,58,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1012,2026-04-01,AC,Air Canada,BOG,JFK,completado,0,0,False,sin_retraso,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1013,2026-04-01,IB,Iberia,JFK,BOG,demorado,70,54,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1014,2026-04-01,B6,JetBlue Airways,SCL,BOG,demorado,85,77,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1015,2026-04-01,CM,Copa Airlines,BOG,JFK,demorado,59,42,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1016,2026-04-01,AA,American Airlines,MDE,PTY,demorado,60,58,True,moderado,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1017,2026-04-01,B6,JetBlue Airways,LIM,BOG,demorado,93,67,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1018,2026-04-01,AA,American Airlines,BOG,LIM,cancelado,0,0,False,sin_retraso,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1019,2026-04-01,TK,Turkish Airlines,PTY,BOG,demorado,102,66,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1020,2026-04-01,DL,Delta Air Lines,BOG,CLO,demorado,94,65,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1021,2026-04-01,DL,Delta Air Lines,PTY,BOG,demorado,72,66,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
VL1022,2026-04-01,IB,Iberia,BOG,MEX,demorado,61,69,True,severo,Tormenta eléctrica,tormenta,alto,True,Wednesday,4,2026
